📺卫视频道,#genre#
//更新日期-20250223-21:43-36个台
//电视直播APP公众号整理

CCTV8-电视剧,http://39.136.34.122/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225661/01.m3u8?fmt=ts2hls

CCTV15-音乐,http://39.136.34.122/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225866/01.m3u8?fmt=ts2hls

CCTV11-戏曲,http://39.136.34.122/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225867/01.m3u8?fmt=ts2hls

CCTV4-国际,http://39.136.34.122/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225898/01.m3u8?fmt=ts2hls

CCTV5-体育,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225658/01.m3u8?fmt=ts2hls

CCTV6-电影,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225660/01.m3u8?fmt=ts2hls

CCTV13-新闻,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225666/01.m3u8?fmt=ts2hls

CCTV13-新闻,http://39.136.34.122/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225666/01.m3u8?fmt=ts2hls

CCTV6-电影,http://39.136.34.122/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225660/01.m3u8?fmt=ts2hls

CCTV4-国际,http://39.136.34.122/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225970/01.m3u8?fmt=ts2hls
//共338行
