📺收集线路,#genre#
四川卫视,http://ys.rgood.xyz:8899/udp/239.77.1.215:5146
四川卫视,http://ys.rgood.xyz:8899/udp/239.77.0.159:5146
四川卫视,http://171.213.36.94:8888/udp/239.93.0.20:1235
四川卫视,http://113.57.150.190:9000/tsfile/live/0123_1.m3u8
四川卫视,http://1639.hsmedia.top:8080/newlive/live/hls/31/live.m3u8
四川卫视,http://183.203.182.117:9616/hls/32/index.m3u8

广西卫视,http://113.57.150.190:9000/tsfile/live/1004_1.m3u8
广西卫视,http://171.213.36.94:8888/udp/239.93.42.46:5140
广西卫视,http://ys.rgood.xyz:8899/udp/239.253.43.36:5146
广西卫视,http://ys.rgood.xyz:8899/udp/239.77.0.139:5146
广西卫视,http://113.57.150.190:9000/tsfile/live/1004_1.m3u8
广西卫视,http://1639.hsmedia.top:8080/newlive/live/hls/26/live.m3u8

河南卫视,http://ys.rgood.xyz:8899/udp/239.77.1.229:5146
河南卫视,http://ys.rgood.xyz:8899/udp/239.77.0.17:5146
河南卫视,http://171.213.36.94:8888/udp/239.93.42.45:5140
河南卫视,http://113.57.150.190:9000/tsfile/live/1006_1.m3u8
河南卫视,http://1639.hsmedia.top:8080/newlive/live/hls/32/live.m3u8

河北卫视,http://171.213.36.94:8888/udp/239.93.0.132:5140
河北卫视,http://ys.rgood.xyz:8899/udp/239.77.1.214:5146
河北卫视,http://ys.rgood.xyz:8899/udp/239.77.0.148:5146
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=3944fff7fdd8f8caf6adce2c9a0ef126
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.flv?t=2510710360&k=14376f1bfbae59edda8d6e8de3ceb0c6
河北卫视,http://1278.hsmedia.top:8080/newlive/live/hls/17/live.m3u8
河北卫视,http://1304.hsmedia.top:8080/newlive/live/hls/37/live.m3u8
河北卫视,http://1583.hsmedia.top:8080/newlive/live/hls/35/live.m3u8

海南卫视,http://ys.rgood.xyz:8899/udp/239.253.43.35:5146
海南卫视,http://ys.rgood.xyz:8899/udp/239.253.43.101:5146
海南卫视,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227139/index.m3u8
海南卫视,http://113.57.150.190:9000/tsfile/live/1005_1.m3u8
海南卫视,http://171.213.36.94:8888/udp/239.93.0.80:5140
海南卫视,http://1304.hsmedia.top:8080/newlive/live/hls/19/live.m3u8

宁夏卫视,http://113.57.150.190:9000/tsfile/live/1003_1.m3u8
宁夏卫视,http://183.203.182.117:9616/hls/34/index.m3u8
宁夏卫视,http://222.85.207.79:9901/hls/48/index.m3u8
宁夏卫视,http://42.179.40.167:9901/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://171.213.36.94:8888/udp/239.93.0.247:5140


吉林卫视,http://ys.rgood.xyz:8899/udp/239.77.1.111:5146
吉林卫视,http://ys.rgood.xyz:8899/udp/239.77.0.150:5146
吉林卫视,http://113.57.150.190:9000/tsfile/live/1007_1.m3u8
吉林卫视,http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
吉林卫视,http://171.213.36.94:8888/udp/239.93.0.248:5140

黑龙江卫视,http://ys.rgood.xyz:8899/udp/239.77.0.124:5146
黑龙江卫视,http://ys.rgood.xyz:8899/udp/239.77.0.93:5146
黑龙江卫视,http://ys.rgood.xyz:8899/udp/239.77.1.6:5146
黑龙江卫视,http://ys.rgood.xyz:8899/udp/239.77.1.179:5146
黑龙江卫视,http://171.213.36.94:8888/udp/239.93.0.183:5140
黑龙江卫视,http://171.221.240.108:808/hls/25/index.m3u8
黑龙江卫视,http://113.57.150.190:9000/tsfile/live/1008_1.m3u8
